id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,"{""question"": ""What type of compensation is awarded to a patient who has lost a chance to escape a risk that ultimately materialised due to a failure to provide information about that risk?"", ""option_a"": ""Loss of chance of survival or recovery"", ""option_b"": ""Loss of preparation"", ""option_c"": ""Physical or mental injury"", ""option_d"": ""Loss of opportunity to have escaped a risk that ultimately materialised"", ""correct_option"": ""B""}",Definition,What type of compensation is awarded to a patient who has lost a chance to escape a risk that ultimately materialised due to a failure to provide information about that risk?,Loss of chance of survival or recovery,Loss of preparation,Physical or mental injury,Loss of opportunity to have escaped a risk that ultimately materialised,b
OIC-005-02-A,"{""question"": ""What is the primary purpose of criminal liability in the context of medical practice?"", ""option_a"": ""To compensate patients for damages caused by medical errors"", ""option_b"": ""To punish individuals for behaviour that is reprehensible in society"", ""option_c"": ""To regulate the practice of medicine and ensure adherence to best practices"", ""option_d"": ""To provide a framework for medical research and experimentation"", ""correct_option"": ""B""}",Definition,What is the primary purpose of criminal liability in the context of medical practice?,To compensate patients for damages caused by medical errors,To punish individuals for behaviour that is reprehensible in society,To regulate the practice of medicine and ensure adherence to best practices,To provide a framework for medical research and experimentation,b
OIC-005-03-A,"{""question"": ""In the case of a doctor employed by a private establishment, who is held civilly liable for damage caused to a patient?"", ""option_a"": ""The doctor is personally liable, regardless of the scope of his mission"", ""option_b"": ""The doctor is not personally liable, provided that he does not exceed the scope of the mission entrusted to him by his employer"", ""option_c"": ""The doctor's employer is liable, but the doctor is not personally liable"", ""option_d"": ""The doctor's employer is not liable, but the doctor is personally liable"", ""correct_option"": ""B""}",Definition,"In the case of a doctor employed by a private establishment, who is held civilly liable for damage caused to a patient?","The doctor is personally liable, regardless of the scope of his mission","The doctor is not personally liable, provided that he does not exceed the scope of the mission entrusted to him by his employer","The doctor's employer is liable, but the doctor is not personally liable","The doctor's employer is not liable, but the doctor is personally liable",b
OIC-005-04-A,"{""question"": ""What is the primary distinction made in administrative jurisprudence regarding the liability of a public service in relation to misconduct committed by a doctor?"", ""option_a"": ""Between official misconduct and fault in the organisation and operation of the department"", ""option_b"": ""Between misconduct committed during or outside of work hours"", ""option_c"": ""Between misconduct committed with or without malicious intent"", ""option_d"": ""Between misconduct committed with or without personal interest"", ""correct_option"": ""A""}",Definition,What is the primary distinction made in administrative jurisprudence regarding the liability of a public service in relation to misconduct committed by a doctor?,Between official misconduct and fault in the organisation and operation of the department,Between misconduct committed during or outside of work hours,Between misconduct committed with or without malicious intent,Between misconduct committed with or without personal interest,a
OIC-005-06-A,"{""question"": ""What type of liability is incurred when damage related to care occurs without breach of professional or scientific rules or error?"", ""option_a"": ""Fault-based liability"", ""option_b"": ""No-fault liability"", ""option_c"": ""Administrative liability"", ""option_d"": ""Disciplinary liability"", ""correct_option"": ""B""}",Definition,What type of liability is incurred when damage related to care occurs without breach of professional or scientific rules or error?,Fault-based liability,No-fault liability,Administrative liability,Disciplinary liability,b
OIC-005-07-A,"{""question"": ""What is the basis for determining fault in medical liability cases according to Article L.1142-1 of the French Public Health Code?"", ""option_a"": ""The patient's subjective opinion of the medical act"", ""option_b"": ""The doctor's intention behind the medical act"", ""option_c"": ""The proven fault of the doctor or healthcare establishment"", ""option_d"": ""The cost of the medical treatment"", ""correct_option"": ""C""}",Definition,What is the basis for determining fault in medical liability cases according to Article L.1142-1 of the French Public Health Code?,The patient's subjective opinion of the medical act,The doctor's intention behind the medical act,The proven fault of the doctor or healthcare establishment,The cost of the medical treatment,c
OIC-005-08-A,"{""question"": ""What is the term used to describe an action that was carried out but was not useful, resulting in an error?"", ""option_a"": ""Error of omission"", ""option_b"": ""Error of execution"", ""option_c"": ""Violation"", ""option_d"": ""Error by commission"", ""correct_option"": ""D""}",Definition,"What is the term used to describe an action that was carried out but was not useful, resulting in an error?",Error of omission,Error of execution,Violation,Error by commission,d
OIC-005-09-A,"{""question"": ""What is the key difference between a medical accident and an iatrogenic condition?"", ""option_a"": ""A medical accident is always caused by a healthcare professional's error, while an iatrogenic condition is not"", ""option_b"": ""A medical accident is the result of care provided in accordance with good practice, while an iatrogenic condition is not"", ""option_c"": ""An iatrogenic condition occurs when the treatment triggers new symptoms, distinct from those it was intended to treat, regardless of any error or misuse"", ""option_d"": ""A medical accident is always the result of a patient's fault, while an iatrogenic condition is not"", ""correct_option"": ""C""}",Definition,What is the key difference between a medical accident and an iatrogenic condition?,"A medical accident is always caused by a healthcare professional's error, while an iatrogenic condition is not","A medical accident is the result of care provided in accordance with good practice, while an iatrogenic condition is not","An iatrogenic condition occurs when the treatment triggers new symptoms, distinct from those it was intended to treat, regardless of any error or misuse","A medical accident is always the result of a patient's fault, while an iatrogenic condition is not",c
OIC-005-10-A,"{""question"": ""What is the typical timeframe after which an infection is considered nosocomial if the patient's infectious state on admission is unknown?"", ""option_a"": ""24 hours"", ""option_b"": ""48 hours"", ""option_c"": ""72 hours"", ""option_d"": ""96 hours"", ""correct_option"": ""B""}",Definition,What is the typical timeframe after which an infection is considered nosocomial if the patient's infectious state on admission is unknown?,24 hours,48 hours,72 hours,96 hours,b
OIC-005-11-A,"{""question"": ""What is the key characteristic that distinguishes therapeutic hazard from errors in medical care?"", ""option_a"": ""The occurrence of a side effect from a non-compliant medication"", ""option_b"": ""The inevitability of the event and its link to a compliant and error-free care action"", ""option_c"": ""The absence of any causal link to the medical act"", ""option_d"": ""The presence of fault on the part of the healthcare professionals or establishment"", ""correct_option"": ""B""}",Definition,What is the key characteristic that distinguishes therapeutic hazard from errors in medical care?,The occurrence of a side effect from a non-compliant medication,The inevitability of the event and its link to a compliant and error-free care action,The absence of any causal link to the medical act,The presence of fault on the part of the healthcare professionals or establishment,b
